,attitude,tweets
7807,negative,listening to a Richie Hawtin set isn\u2019t the best thing to do on a Sunday when your going to bed...ravin ma tits aff now ha
7808,negative,@wheeler_afc pls TV5 just get that sucker\u2019s leg (rvp) broken 4 me on saturday pls!!
7812,negative,After I tweeted about @MTLgazette Gary Carter photo #facepalm\u002c they removed the Mets photo. 2nd choice almost as bad\u002c Kid holding Mets cap.
7816,negative,I really feel like poor planning was involved in whatever it was that made Ash Wednesday and National Margarita Day collide
7822,negative,I don\u2019t have the patience to wait till January for a new Jennifer Aniston movie
7825,negative,I dont want to talk to no one tomorrow besides evelyn \u002c additi \u002c nathalie \u002c paola & destiny
7830,negative,@BTVHoops no live NBA game tomorrow? only postgames of Knicks/Heat and Clippers/Grizzlies? pls air the game of Knicks against Heat LIVE.
7833,negative,@KALi_BORiCUA real shit ray Allen meeting with the Knicks tomorrow
7837,negative,In case you forgot Panthers are horrible on defense. Pathetic. Ranked 27th against run and their top CB (Gamble) is out w/ injury. #Cowboys
7840,negative,Migraine since Saturday & a blood vessel burst yesterday in the eye where it\u2019s located. Any more and I\u2019ll be rocking a Marie Colvin eyepatch
7842,negative,August 11th 2010 Was the day I met Mitch... I regret not taking a picture with him. Fuck. I\u2019ll miss going to SS shows.... </3
7843,negative,Laker fans should take it as a sign that they got beat by the Sacramento Kings twice in the preaseason...and their starters played the 4th
7854,negative,@cluckingb3ll well tomorrow you have to share a bed with ash.............i dont really know what is worse!!
7859,negative,22/10/2012 - 1st day no poppers no cigarettes this is for rella gona b hard.
7863,negative,I have a habit of going to Mass every Sunday and holy day/feast day ACCEPT for Holy Days of Obligation.. #CatholicProblems #CatholicFail
7878,negative,Khan says Chisora won\u2019t be the same after his KO vs Haye - is he still dizzy from getting put on his ass on Saturday? #idiot
7888,negative,@yosp why doesnt Sony promote 1st party games? AC3 commercials are on tv all the time. And no one (cont) http://t.co/6uXrjMvC
7893,negative,Ash Wednesday is always hard for me\u002c any day focused around ash on your body brings back bad memories for me.
7901,negative,People getting off Caltrain at 4th and King for the #SFGiants parade are already pretty wasted... at least they didn\u2019t drive in I guess.
7916,negative,Fuck it... no one pays attention anyhow.. THIS! Next Tuesday on @thered_show\u002c the original Nirvana drummer Chad Channing! @themixxradio
7918,negative,I can\u2019t forgive Farrackhan for the Malcolm X thing. And ninjas ain\u2019t done sht since the million ninjas march...name one thing.where the$
7934,negative,Iqaluit just wouldn\u2019t be Iqaluit without the drunks screaming at each other on a Saturday morning ... depressing buggers.
7941,negative,Zaheer Khan was injured on the 1st test\u002c day 1 of Eng\u2019s tour. Steve Finn is now injured(thigh injury) on the day 1 of 1st tour game. Hmmm.
7943,negative,Im going to be the Black Dahlia tomorrow and no ones going to get it because everyone is stupid.
7957,negative,@RobBase92Q Haven\u2019t hear about Morgan State.... but Coppin State is closed for tomorrow. #Sandy
7964,negative,I may do a 30-mile bike ride for the Giants on weds cause you know Caltrain is going to suck more than the Cardinals.
7970,negative,@Michelle_Foy1 @kimmikaa @pameatsbabies if you dont know hes the vocalist of the metal band Lamb Of God and is a sorta a 3rd party candidate
7973,negative,C\u2019mon... don\u2019t play with the Winans!!!
7979,negative,Disappointed the Knicks vs Nets game got canceled tonight\u002c but I\u2019m even more hyped for Knicks vs Heat on Friday!
7980,negative,May Infinite Ranking King final episode with Eng Sub na. Waaa :(
7992,negative,@Desdemonaous The sun does not rise in the same constellation as your zodiac anymore. There has been a shift. Astrology is a myth.
8007,negative,Price may have laid out Fraundley Harrison out pretty bad and easily\u002c but still both Klitschko brother wipe the floor with him. #boxing
8009,negative,They tried to pull a fast one and say today is Margarita Day but that is false. We may be drinking margaritas but it is not Margarita Day!
8015,negative,@topcity yep.  Once it\u2019s lost\u002c it can never be returned.  I was in Constitution Hall last Fri.  Got chills.  So much history was almost lost
8024,negative,Careless World tour hit up 8 places in Cali. Haha the fuck\u002c yoo.
8033,negative,I am a tax payer in the U.S. I have no right to vote for the Presidential Election. I hope Mitt Romney wins the President seat next Tuesday.
8042,negative,No Knicks tonight\u002c This makes me upset enough that I haven\u2019t tweeted about it\u002c you know shits gotta be real smh Tomorrow night\u002c Knicks/Heat
8043,negative,Holger may have another selection headache with Carl Valeri coming off with a possible injury after 30 mins in tonight\u2019s game v Cesena
8056,negative,Missing hooters\u002cmy husband\u002cmy life\u002cmy photoshoot tomorrow\u002cguess I\u2019m gonna drink this bottle of wine with a Xanax and pass the fuck out. #bye
8076,negative,This is the 1st Halloween my kids didn\u2019t go trick or treating... Kinda sad they are TOO OLD for it now cuz I... http://t.co/fudXcsL0
8089,negative,Okay if you go to Elon University and do not go to the Rip_Chords concert Saturday...you\u2019re sinning.
8098,negative,Kevin Rudd talks about PM betrayal - Updated: 19:00\u002c Sunday Oct 28\u002c 2012 Senior Labor MPs are again batting divided ... http://t.co/uo0XRHu5
8111,negative,FYI. Wednesday is going to suck on Caltrain\u002c if you even plan on going to work that is. Parade.
8115,negative,National Margarita Day please tell me this is bullshit - http://t.co/aTmKKfRb prove it for yourself Ash Wednesday Lent Flamengo X Vasco
8123,negative,Not going to school because YOLO... & because my essay is so not gonna be ready by tomorrow.
8125,negative,Max might have to get put down tomorrow </3 absolutely heart breaking if I have to see my puppy go. Love you Maxy x http://t.co/lyHVHL1F
8132,negative,"""Hey Mr \""""""""Ego\"""""""" October...Gary Carter & Kirby Puckett are HOFers as are you...the difference is...they were class acts...which you aren\u2019t!!"""
8138,negative,I haven\u2019t been able to look at Todd Bertuzzi the same way since the Steve Moore incident
8150,negative,Somehow eyeshadow smeared to the center of my forehead. I look like a participant of Ash Wed. And I pulled out chunks of eyelashes :/ #fuck
8156,negative,Friday night Knicks vs Heat if you not watching the game wit me dont fuck with me lbs I be engaged like a mf #KnicksNation #TeamMelo
8161,negative,Ecuador worried about Assange\u2019s health - Ecuador says it is concerned about the health of the Wikileaks founder\u002c Jul... http://t.co/hIsB8WVg
8183,negative,Fuck it\u002c  might go see Reggie tomorrow ...
8201,negative,We always get pushed out to SS4 with Ben Sheppard. Could be worse. Could be Thursday night with Colin Murray #AFC
8206,negative,"""\""""""""men tomorrow you will have one of your hardest patrols...CIF turn in\"""""""" lets hope i have everything"""
8210,negative,#UMES followers don\u2019t forget\u002c #umesvolleyball takes on Morgan State today at 3! Be there or be really bored cuz it\u2019s a Sunday. Your choice
8213,negative,Did you just tell me Lucas scott leaves in the 5th season of tree hill? #YOUJUSTRUINEDMYLIFE
8219,negative,Look at Joseph lol. Me too I dont want to attend teacher JLin\u2019s class under the sun! I dont light sun that much hahaha http://t.co/Tce2iYr1
8222,negative,@moomnaliaqat no problem! BOI YOU BEST BE AT RIM TOMORROW lol there is like no one going to rim.. and LOL I really dont wanna go to school..
8236,negative,Bad news\u002c no Gibbs for Saturday. Unless we play TV5 at LB\u002c we have lost before it\u2019s started. Santos is a liability and will be cut to shreds
8247,negative,#pakistan#news Procter and Gamble sales fall 6.7 %: P&G said net earnings in the quarter to September 30 fell to... http://t.co/NYnfUupZ
8255,negative,Porto are the only team letting me down! C\u2019mon boys turn this around
8256,negative,I think I may have spent too much on Carmelo Anthony. I only hope that his thick-framed black glasses will console me in the post-season.
8258,negative,Ghost Rider 2 sucks compared to the 1st\u002c my mom Ash are looking at it and I told them the same haha.
8261,negative,Does everyone not realize the Voice is rigged. Ie cassadee pope sang in the signed band Hey Monday. Or Dia was half of Meg & Dia.
8266,negative,Playing Jacinto on Gears3 on Guardian fer the 1st time nd its raining wth..
8267,negative,Sick a\u2019f and going to school tomorrow YOLO
8297,negative,How can you hate on YOLO....please tell me how living your 2nd time is
8300,negative,I know I\u2019m only on the 4th season of OTH\u002c but I don\u2019t understand why everyone loves Lucas Scott. He pisses me off.
8308,negative,@vytrannyxo Tomorrow you can show me Lucas Scott and Lily Roe #Loser
8320,negative,Wow. Tiger fires a 63 but not good enough.  Nick Watney shoots a 59 if he birdies the 18th?!? #sick
8326,negative,@PierceTehV3il_ how excited i was because dec 9th i was going to see Asking Alexndria\u002c SS and MMF but i came home and found out what
8341,negative,If BARACK OBAMA CARED 4 the people of NJ he would lift UNION BAN like George Bush did 3days after KATRINA. #sandy #October failed leadership
8344,negative,This time tomorrow\u002c @Jas_Stringer and I will be well on our way to Starkville for a sick weekend...the USM game is going to be atrocious.
8345,negative,dont get paid till saturday but im going traffod centre tonight\u002c cba
8354,negative,Khader Adnan may be released\u002c but the struggle continues. 1\u002c600 Palestinians are on an open ended strike as of today to mark prisoner day.
8367,negative,@asht0nizzle @susan_leperaxo Tomm and Sunday most likely. Not sure when I\u2019m going back. No power in NJ
8376,negative,Is this CiF piece meant to be funny?  I mean\u002c other than in the unintentional sense of being ironically humourless http://t.co/LvZXjfrt
8377,negative,My lips are chapped\u002c my ovaries hurt\u002c and I cannot think of any scary movies with Alan Rickman. Thursday sucks.
8379,negative,A 19th journo murdered in Somalia / Tokyo 2020 unveils stadium design rivals/ Why Madrid says it needs 2020 Olympics / http://t.co/ylSLefYT
8383,negative,Fireworks go on sale tomorrow. I\u2019m sorry\u002c but after experiencing Independence Day in the States\u002c NZ fireworks can\u2019t impress me at all.
8391,negative,Im so tired that Zulu is the 1st word that pops in my mind
8393,negative,Tough one tonight for the boys.  Played hard but came up short with a 4-1 loss with an ENG.  Davies scored the lone goal.  La Ronge tomorrow
8400,negative,@picesbaby123 when we were in 3rd grade she stole my Valentine Day cards and crossed my name out and put hers on them n passed em out.
8422,negative,The fact that hunter Hayes and Carrie underwood are gonna be here Saturday and I\u2019m not going??? #what #notokay
8429,negative,Why is my mind doing this to me? 1st I think about Max and how he always knows when I\u2019m sad and now I think about what happens when he dies
8435,negative,@DudWithNoZah Akin and Murdoch are scum\u002c but rape jokes aren\u2019t much better brah.  They may just be just a (cont) http://t.co/pH72WrlV
8437,negative,@Dammit_Ben he doesn\u2019t deserve the death penalty a la todd bertuzzi\u002c but I think 3-5 games is fair\u002c if not whole 1st rd.
8447,negative,Vitali Klitschko stopped Manuel Charr in the fourth round to retain his WBC world heavyweight title Saturday night.  #eotpro
8448,negative,I just came back from Mexico city... I will fail 2 subjects for not going to school for a week. If Rih comes to Mexico in the 14th. OMG...
8458,negative,Wish I was going to the rodeo tomorrow night with everyone :( stupid surgery
8462,negative,i can talk about Malcolm X all day... like when i got kicked outta school in 8th and 9th grade for being too radical about Black Panthers
8470,negative,Ignored again Man C v Ajax ITV Tues\u002c Celtic v Barca SkyS2 Wed\u002c @ITV sort it out ya fuds
8474,negative,The heat is gunna kill the Knicks tomorrow
8476,negative,@bpshow  bill\u002c  Murdoch may have apologize for saying what he said but he hasn\u2019t changed his view on the matter.
8478,negative,@GeeEasy SMH...preseason injuries..THEE. WORST.  You know JR Smith is in a boot? He was fine on Monday. What the hell did he do to get that?
8481,negative,I can\u2019t believe the 3 important people in my life are going to Hawaii Friday without me
8490,negative,Ramdev\u2019s jailed aide\u2019s pic with freedom fighters at Ramlila: New Delhi\u002c Aug 9: Controversy erupted at the... http://t.co/UtwqoBTW #india
8496,negative,@RSElectronics No I want my Raspberry Pi which I ordered from you in July... 19 weeks dispatch time is ridiculous!
8501,negative,Valor is official screwed tomorrow.. Audis and BMWs aren\u2019t good in the snow.... #ValorProblems #richkidproblems #letsgetoursecondcarsout
8508,negative,@chrissyteigen I really don\u2019t know why you can\u2019t wait for me to get to LAX tomorrow\u002c Chrissy. Us being the best of friends and all..rude.
8510,negative,RdM seriously believes last night proves Sunday\u2019s defeat was unjust? If anything\u002c I\u2019m surprised our first XI didn\u2019t twat you on Sunday.
8512,negative,@SiClancy didn\u2019t BR want to ship him out in the Dempsey deal? He\u2019s 6th choice at min behind LL\u002c JA\u002c SG\u002c NS\u002c JJ. Who will take Cole and co?
8513,negative,Speaking of King cake\u002c the 1st time my mom had some\u002c she ate the baby. Got stuck in her throat and she had to got to the doc to get it out.
8527,negative,I don\u2019t think my plans for tomorrow are smart  considering I have SAT\u2019s the next day\u002c well YOLO
8538,negative,Simon Crean still can\u2019t support the way Kevin Rudd was spilled from the role of PM - Herald Sun http://t.co/Ing9XseA
8549,negative,@JohnDePetroshow Let me guess\u002cRita was just another one of your fictional callers?Amazing how the call became political...c\u2019mon!
8561,negative,@ScllyStitches She\u2019s invited. And Ash may not go because of her. And I want Ash to be there because his AE helped mine through some stuff..
8563,negative,I have not seen a good 3rd quarter from the Sacramento Kings in forever.
8564,negative,@bstewart84 Any search seems to give details back today. You may have confused an article with the Porto model.
8565,negative,@sunnyjim123 Yeah that\u2019ll be enough for him now. That was devastating. I think Price would be Vitali Klitschko tomorrow if he had the chance
8584,negative,So\u002c in Jan 2010 Darryl Issa called investigating Wikileaks a priority and today he dumped raw intelligence data on internet? Irony\u002c anyone?
8586,negative,@liz_2710 so jealous! I would prefer the heat rather than the cold here in stinky NZ! Lol did william tell you we ain\u2019t going Sa in jan?
8594,negative,Ghost Rider 2: Spirit Of Vengeance\u002c may just have enough nonsense to satisfy @craigfots Statham-quotient.
8599,negative,Bear with me for the power crisis: Jayalalithaa: Chief Minister Jayalalithaa on Wednesday asked the people of Tamil... http://t.co/6FL1pjuL
8610,negative,Horrible dream lady night....I\u2019m tiered but today is my Friday and its the start of the RODEO tonight #hearthorses
8615,negative,@llcoolj These people CANNOT know who Mick Jagger is...you ain\u2019t old\u002c old skool maybe but c\u2019mon! Mick Jagger has a lot more years than you!
8619,negative,There is a woman in Somalia\u002c The sun gives her no mercy\u002c The same sky we lay under\u002c Burns her to the bone---Miss Adu
8627,negative,okay i\u2019m sorry but TAYLOR SWIFT LOOKS NOTHING LIKE JACKIE O SO STOP COMPARING THE TWO. c\u2019mon America aren\u2019t you sick of her yet? (sorry)
8636,negative,I will sleep in Zachary\u2019s truck until Wednesday\u002c but I\u2019ll be damned if my cellphone dies because the power is out.
8642,negative,@SpikeEskin also i hate this themed PPV\u2019s what if i want to see an Elimination Chamber in july? I gotta wait six months?
8650,negative,"""\""""""""Im going home and throwing this up... my diet starts tomorrow.\"""""""" -@Alwhit14"""
8676,negative,Morning all! Waking up at 1.30 to gamble may not have been the best idea. Knocked my sleep. This hour is fit for milkmen & perverts only
8686,negative,Was going to watch Brooklyn Nets - New York Knicks tonight but it got postponed\u002c Knicks gonna get butt-fucked by Miami tomorrow :(
8695,negative,@zinsernyt Not sure if the marathon should happen\u002c but by ignoring Saturday\u2019s Nets game that is still on\u002c I find this article deceptive
8696,negative,Ghost Rider 2 is out on Monday. Ignore it.
8697,negative,"""It\u2019s fucking Friday! So it\u2019s only right to bump \""""""""Friday\"""""""" by Flatbush Zombies at ignorant levels"""
8704,negative,I don\u2019t want to go to school on Monday . My excuse will be that HISD doesn\u2019t have school lol ~
8714,negative,Today\u002c April 17th (Palestinian Prisoner\u2019s day)\u002c is ironically the day Israel claimed it would release Khader Adnan. No action yet.
8723,negative,i have to drive with Ms. Pope Saturday... kill me now.
8738,negative,@NICKIMINAJ you do realise that in like 50 years\u002c us Barbz will be sat in a nursing home still wanting the RIM video :((((
8739,negative,O. Johnson commits his 3rd foul! He\u2019s cold off the bench with 3 fouls and a turnover in Q4. #Pacers losing 98-87\u002c 4:52 left.
8740,negative,Cba with work tomorrow! #Boring #Blag
8748,negative,F*** the hurricane party this Tues santospartyhaus w/ @shinytoyguns @carahfaye @static @ Santos Party House http://t.co/hAzBMnCR
8755,negative,1st 5-star review. Colour of Lemon sets off like a bullet train with the gruesome murder of one of Sowerbutt\u2019s own.
8757,negative,Will Evelyn ever finish her hw? the world may never know
8763,negative,Depending on your sensibilities\u002c Unofficially Yours may seem progressive or derivative. Too bad the leads can\u2019t supply the heat it needed.
8765,negative,the fact that so many will vote for a socialist fake liar for President is very very frightening and may bring America to ruin!
8770,negative,Team Rita\u002c oh you fancy huh?  2nd place\u002c trophies\u002c eatin\u2019 at the Blackwell  2nd place\u002c trophies\u002c eatin\u2019 at the Blackwell. Oh you fancy huh?
8774,negative,"""#FilmQuoteFriday \""""""""You were the worst fucking deal I ever made!\"""""""" Johnny Blaze\u002c Ghost Rider:Spirit of Vengeance. On 3D Blu-ray and DVD Monday!"""
8779,negative,Ron Jaworski said #12 is the 4th best rookie qb from this rookie class #WTH #wtf jaws is an idiot @JimIrsay @JMV1070
8786,negative,@ditatriemeiliza  smthing went wrong B/w us. She is really Good Girl . May be i have Done Mistake !! . But she Knows ME . Miss HER !
8802,negative,@sTeadyMobbin8 I thought the Nets game got cancelled but they play the heat tomorrow anyway.. damn\u002c i was ready to talk some shit
8803,negative,I really thought HISD didn\u2019t have school tomorrow because it was Christopher Columbus day.
8805,negative,The Brits are punishing us for American releases always being late across the pond. #Skyfall to come out on November 9th. #damnyou
8812,negative,"""\""""""""@Peter_Owen1: Bulls season tips off Wednesday night vs Sacramento Kings. Excited is not the word.\"""""""" Frustrated is the right one..."""
8814,negative,Watching Ghost Rider: Spirit of Vengeance. It\u2019s much worse when you may have thought. #fb
8833,negative,@nonegiven101 - That may not happen now with all the sackings Over in Cupertino.
8847,negative,1st free.edom taken away.  cant buy your size of soft drinks.  2nd.Religious freedom for Catholics. next? Obama...coming for you
8855,negative,Holy drunk! Wine\u002c Johnny walker and beer are not a great combo esp on a Thursday night to many emotions too much sadness\u002c calling it a night
8874,negative,Kinda just want to stay home and cry all day tomorrow...
8878,negative,The biggest mistake Lucas Scott ever made wasn\u2019t almost marrying Lindsay or moving in with Dan\u002c it was shaving his head in the 2nd season.
8879,negative,he may be a cheap shot scumbag\u002c bit I fuck with Todd Bertuzzi
8900,negative,Apple Can\u2019t Innovate or Manage Supply Chain: CUPERTINO\u002c CA - OCTOBER 04: Apple CEO Tim Cook speaks at the event introducing the new i...
8907,negative,Nooooo they delayed the knicks and Nets game until Monday!
8909,negative,If you dont like Chris Webby\u002c Mod Sun\u002c Huey Mack\u002c Machine Gun Kelly or Kid Cudi we can\u2019t be friends bye
8911,negative,@dorcov YUP. And did you watch Degrassi from friday yet? looool awkward campbell
8923,negative,The Brits don\u2019t need US-style debates. They debate every Wednesday. Then again\u002c the UK parties don\u2019t have to work together. Usually #pmq
8924,negative,@BleuFootedNewby Ah woops that\u2019s my bad they play the Knicks tomorrow
8942,negative,Sorry for not replying much\u002c working but most want Sagna LB or TV5 shifted but remember Kos and Jenk played 120 mins tues too. #toughcall
8947,negative,Im so mad at Catholics im going to a Baptist church tomorrow and converting #boilingmad
8948,negative,.   DMDK party led by actor Vijayakanth may not sustain for a long time under the shrewd politics of Jayalalithaa.   http://t.co/dsFjXS1O
8957,negative,Alan Pardew apparently compared Colocinni to Bobby Moore.   I may fucking shoot the prick for that Blasphemy. #NUFC #WUFC.
8958,negative,"""Martin stupid \""""""""1st notice\u002c 2nd notice\u002c a don\u2019t let me catch your ass in the street notice\"""""""""""
8962,negative,@imjustanerd We may not win Academy Awards\u002c but we will be the freaking People\u2019s Choice dammit!!!
8969,negative,And the new season opener is against the Dallas Stars on Thursday\u002c Oct 25. You probably shouldn\u2019t buy tickets yet. Call me cynical.
8975,negative,Sooooo it looks like I won\u2019t be seeing Mick Foley in February.
8990,negative,Needed the loo since Bethnal Green... Now the other side of Romford This suit might be getting dry cleaned tomorrow
8997,negative,@Magwer84 And who had Maidana fought before the Khan fight? Hahahaha and he lost to Devon Alexander in February who is shit also! #clueless
8998,negative,Ian going to the game \u002c that\u2019s a waste of money because Rosedale gone demolish us 1st Quater #FACT
9005,negative,ATTN: RUNWAY CLASS FOR TONIGHT NOV 1st IS CANCELLED. Sorry for the inconvenience. It will be rescheduled for next... http://t.co/xewznlnt
9006,negative,And I never had a good time I sat by my bedside with papers\u002c poetry about Estella.   #Greatexpectations
9008,negative,"""\""""""""And I never had a good time while sat by your bedside with papers and poetry about Estella.\"""""""""""
9009,negative,My godsister better take her ass STRAIGHT home after school tomorrow. NCA won\u2019t be the place for her to be after school
9016,negative,False start penalty\u002c Garner moved early. Brings up 3rd and 16 from the Yale 47.
9020,negative,If I don\u2019t feel A1 tomorrow I\u2019m not going to school rs!
9023,negative,All this damn work I still haven\u2019t had the chance to call Martin about these poems. I have to do it tomorrow
9025,negative,as some of you may know we have a fish tank & this little guy is named Jeff Carter. sadly\u002c i think he\u2019s dying. http://t.co/Bhil5DXL
9049,negative,Lmfao \u002c she gone die . All the niggas gone be at NCA tomorrow
9055,negative,@asajoseph So you wouldn\u2019t have regretted selling Pires after his 1st season? I think it\u2019s outlandish to base all your judgement on 1 season
9059,negative,Semi-finals tomorrow are going to be gay...
9068,negative,Sister is rubbing it in my face the fact that she has no school tomorrow and I do\u002c #ULazySackOfShit Thalia Its all love though lmao
9070,negative,NO WAIT!! Mick Foley will be at SMU from 10 to 11 am on 03 Nov... but I still unsure on whether to go see Kewei in the evening.
9080,negative,@yazbanz yes I am. Coz for me when Henry\u002c Pires & others left & also Cesc may be\u002c were more sad than this RVP! But do u think he\u2019s leaving?
9086,negative,Tomorrow October 25 Il Divo is presented in the valence Forum here in Venezuela! And I\u2019m not going Hahaha
9099,negative,"""Robbie Keane speaking now: \""""""""We let ourselves down and we let the country down. It wasn\u2019t good enough on Friday.\"""""""" #rtesoccer"""
9109,negative,@sinbadbad I do believe Trayvon may be innocent or may not\u002c but I don\u2019t like it when people gin up mobs & hate even if they don\u2019t mean to.
9118,negative,I haven\u2019t bought my kit and NCS is tomorrow. My frame of mind right now is just #leaveityeah
9120,negative,I can get money for Kermit but ain\u2019t gone have it by tomorrow!
9141,negative,C\u2019mon you telling me Emily Chrissy and Thalia couldn\u2019t have had a better show case then that? At least a stage for the jackets my mans.
9156,negative,"""I may go off the grid till 11/7. \""""""""Christians\"""""""" keep driving me further from Christianity. Pregnancy after rape is science\u002c not \""""""""God\u2019s will.\"""""""""""
9175,negative,OMG Mali Music is going to be in Philly tomorrow! At the Liacouras Center\u002c performing at the Kingsmen tour! I\u2019m so sad.
9208,negative,@QldFire Rosedale is 40mins from B\u2019berg. About 3hrs from Rocky. The crews must be weary after fighting the Euleilah fire since Tuesday.
9217,negative,Sooo.. What you\u2019re telling me is that no one is down to get drunk as shit for the Cypress game tomorrow and talk shit to the cypress kids?
9223,negative,@LibertysArmy And like Doug Wead has said many times\u002c if he didn\u2019t run as a Republican many may have never known about him.
9229,negative,why are people hating on LP for their win? It\u2019s their night. And we\u2019re gonna trend again anyways after we beat Westlake Saturday so save it
9231,negative,i miss my bestfriend\u002cOctaveia\u002c my cousin \u002cApril .. my bestie\u002cKaliyah\u002c Tricey\u002c Dasia\u002cMikia\u002c& the other people i miss with at Richwood !!
9236,negative,@Tristan_jet @iidontrespectit Martin isn\u2019t a leader for the 2nd unit like harden. Your guys bench is done plus Westbrook is a ball hog
9244,negative,I hate ASAP on Friday !!!! Why I have BUSY always in the end of week :(
9248,negative,I went on google & saw \u2019Special signing w/ Romeo Santos in Boston MA\u2019 When i clicked it it said (Nov 16 2011) -.- got me hype for no reason
9266,negative,@Monster_HOND I hear that SANZAR have confirmed that it is most wins 1st\u002c the same as Super Rugby. I find the mistake ridiculous.
9281,negative,I\u2019m still obsessed with Werth...not on a Jeff Carter level more on a Ryan Lochte level. I think it may be sexual obsession
9294,negative,I miss Sarah G Live last Sunday. Will watch it later.
9303,negative,The World Bank cut its economic growth forecasts for the East Asia and Pacific region on Monday and said there was a risk the slowdow...
9308,negative,But then I don\u2019t get why EP kings are gonna play Super Rugby but they still playing kwi 1st Div.. Crusaders aint no Puma\u2019s just so they know
9314,negative,I don\u2019t give a Fuck though\u002c it\u2019s all about #sockersweek #ChicagoMagicPSG Friday night Lights at Olympic Park
9315,negative,Rick Stein really is incredibly dull. Bring back kids\u2019 Saturday morning telly please. You know\u002c with pop groups and stuff #sarurdaykitchen
9331,negative,This Olive Garden commercial is so stupid. Why would I want old pasta tomorrow?
9360,negative,I just realized that Thalia is going to be tortured tomorrow for an hour lmao
9364,negative,\u2019Saturday Kitchen\u2019 is on and it\u2019s Sunday. Mind = fucked.
9368,negative,Uh oh..just turned on Cardinals game...1st thing I see State Farm commercial with Kerry Wood..not a good sign for #Cardinals
9374,negative,H&M delivery is SO shit. I ordered things and paid extra for next day delivery on Saturday and it still hasn\u2019t come
9386,negative,@Becker_Boris It\u2019s almost 2 am in BKK but I can\u2019t sleep after the game. It isn\u2019t the 1st time we lost cuz of ref.
9396,negative,I\u2019m going to be so lost at cypress tomorrow
9410,negative,Brrrr that was a shock this am! +2C windy so feels chilly but some sun :) We are colder than Siberia so the tabs... http://t.co/av4kWLrx
9412,negative,Danica Patrick let her temper get the best of her Sunday and knocked herself out of NASCAR race http://t.co/ziT7wf95
9417,negative,"""Olive Garden\u2019s Dinner Today & Dinner Tomorrow special\u002c for the person who thinks \""""""""Hey\u002c that was terrible! Wonder what it\u2019s like microwaved?\"""""""""""
9420,negative,"""Watching \""""""""Good Deeds\"""""""" for the 1st time & I\u2019m here all emotional & crap. Smh"""
9423,negative,@GregUnittXIV I hate to say it but I think it\u2019ll go to penalties tomorrow. I just have that feeling\u002c like I had before the Carling Cup Final
9424,negative,Probably not going to be seeing much of the Semi-finals tomorrow because I\u2019m going shopping around lunchtime
9434,negative,Ruby can\u2019t even take me to breakfast tomorrow :/ he dropped Harold Washington .
9455,negative,Trina will be in N.O. Friday....I stop supporting her the day I found out she was in thibodaux at the showcase lol
9471,negative,Can we just haw class cancelled tomorrow? Cause I really don\u2019t want to go to BCA 101. I\u2019d rather eat worms....
9474,negative,May be late to the NCS thing\u002c I honestly haven\u2019t the foggiest where the central library is xD
9480,negative,Luna is taking a break today\u002c not perfecting any major aspects to any of the other 6 planets\u002c until she will meet Jupiter tomorrow morning
9482,negative,Mommy is leaving on Sunday. Didn\u2019t say shit. Like I knew she was leavin\u002c but she ain\u2019t say when.
9483,negative,@RolandT125 as much as I hate to say it...Saurez\u002c Ronaldo\u002c Nani\u002c Pires   I could go on and on he may have a point bruv.
9496,negative,Although there was that one time he finished 3rd and Cannavaro finished 1st. Yes\u002c Fabio Cannavaro. Bullshit.
9497,negative,If Jacob tweets one more time tonight I\u2019m beating his ass in school tomorrow #DontBeThatGuy
9511,negative,Google Wallet is coming to MetroPCS\u002c so now you won\u2019t need to sign a contract to have your identity stolen. More jokes: http://t.co/oyPF2YTw
9514,negative,Rick stein Saturday kitchen quote fishing is by far the worlds most dangerous job haha #thinkaboutitnobhead
9515,negative,Mark Martin by far the most unluckiest Nascar driver of all time\u002c 2nd 5 times in points & the heartbreaking 07 Daytona 500.
9529,negative,Evgeni Malkin doesn\u2019t play again until the 16th. This NHL lockout sucks\u002c I can\u2019t watch games that are being played in Russia.
9532,negative,@KRuddMP listed as star attraction for Aust-China event today. Rudd\u2019s office say he never committed\u002c PR in charge says he cancelled Friday.
9537,negative,"""I had a feeling Cassadee Pope would be at House Of Blues today. Too bad she couldn\u2019t do \""""""""Remembering Sunday\"""""""" with ATL"""
9538,negative,"""So Aston Villa have a \""""""""must win\"""""""" game against Norwich City tomorrow lunchtime.  MUST WIN - how the mighty have fallen."""
9541,negative,okay tomorrow is hell day. can\u2019t wait to get in my car and drive home as fast as humanly possible. call me danica patrick\u002c if you must
9572,negative,"""Amanda thinks that because she\u2019s not \""""""""going to the Oscars\"""""""" is a valid excuse for her not washing her hair since Thursday."""
9588,negative,@iam_ShanaeWare Sorry about that. Don\u2019t miss the one that\u2019s coming on Friday though\u002c Trayvon\u2019s family are going to be there.
9594,negative,@coplandcasual @_s_s_r_ @gullitr couldn\u2019t tell you the last time I threw a dart. Mon Rudd we\u2019ll even let you pay for the drink. #Rotterdam
9595,negative,Emmanuel Adebayor has held heart-2-heart talks with Tottenham manager Andre Villas-Boas over his unhappiness at a lack of 1st-team football.
9600,negative,as some of you may know\u002c we have a fish tank & this little guy is named Jeff Carter. sadly\u002c i think he\u2019s dying http://t.co/3vCy2qZX
9601,negative,I never had a good time\u002c I sat by my bedside. With papers and poetry about Estella
