,attitude,tweets
10792,positive,SPECIAL Conference Call tomorrow the 7th at 7:30 PST - 10:30 EST Featuring Doug Wead! Doug is going to give us a... http://t.co/TZf81PDW
10793,positive,On Sunday please watch Sarah G Live\u002c one of Myrtle`s dream will come true - together with Melai\u002c Myrtle will having a song number with sarah
10797,positive,Come join in all the fun at The Great Pumpkin Hunt at Rosedale Gardens this Saturday!
10811,positive,Fucking stoked to hang out with my girl Thalia tomorrow night. Haven\u2019t seen her in ages.
10813,positive,\u2019Really good day\u2019 as Danica Patrick finishes 10th at Kansas Nationwide race - NASCAR News | FOX Sports on MSN... http://t.co/wlmXrhFu
10822,positive,"""There are still spots available for \""""""""Happiest Baby on the Block\"""""""" this Sunday! http://t.co/wMu6BVyz"""
10825,positive,LIPA 4:19 http://t.co/tAjnLOaV beat the bad weather join us for our taster sessions wed and thurs at Joseph wright centre
10826,positive,I\u2019m happy my 1st showing is at 3pm today... Ritz Carlton... Let\u2019s sell it! #TomiRoseTeam
10827,positive,@PatMessenger great choices!!! I went to Olympic park too\u002c but if you\u2019re just there for the weekend\u002c that may be pushin it!
10828,positive,@SCRWD Thank you. Now I just need to ace the theoretical midterm tomorrow.
10833,positive,Tomorrow is the deciding factor for the University of Denver\u002c excited to see what it\u2019s like from a student\u2019s perspective
10840,positive,#WhileTwitterWasDown we were day dreaming about winning $1000 for 1st place at the @EvergreenChmbr Kickball Tournament this Saturday!
10842,positive,Our 3rd winner who\u2019s won himself an exciting couple invite for the #DivasofRock at Vivanta by Taj - Blue Diamond\u002c Pune is @patnisiddharth !
10843,positive,- Grassroots racing at its best returns to Marana on Saturday\u002c October 27\u002c at the Gladden Farms 10K an http://t.co/czsOxWoQ
10848,positive,@LAALVEZZ I\u2019m bringing you a play to read on Monday. YOU\u2019LL READ IT AND LOVE IT. And Meryl Streep is going to be in the movie adaptation.
10851,positive,Just then\u002c the day broke and the facade of Granite House was illuminated by the rays of the rising sun.
10854,positive,Icecream while I make @lissalustcherub \u2019s birthday present for tomorrow! LOVE YOU LAURIN!!
10856,positive,Tracking Texas A&M Football Players in the 2012 NFL Draft: Texas A&M may have the biggest surprise of the 2012 N... http://t.co/hanlQbrh
10857,positive,Mommy brought me some red velvet cupcakes! And im gonna play football tomorrow morning with daddy\u002c bella\u002c and jarvey! Yayy family.
10863,positive,@ClAmAtaDOrE Just like the sun and the stars and the sea \u002ctrue love will go on through eternity.Sweetheart you are my super star.Kisses\u002cStar
10864,positive,#Sale Mary Green Silk Just Married Boyshort Reviews: Here is the one of best product may you have Mary ... http://t.co/gy6mYe4P #Fashion
10866,positive,"""\""""""""@ForeverBayBay: Just watched the Pursuit of Happiness for the 1st time. I love it.\"""""""" Good Deeds by tyler perry is the girl version"""
10867,positive,Wow!! Lady Gaga is actually at the Britney Spears Femme Fatale Concert tonight!!! She still listens to her music!!!! WOW!!!
10868,positive,Mail in a lather over C4's scheduling of Four Lions to coincide with 10th anniversary of 9/11. Too good a film for stunt scheduling I think.
10869,positive,Really enjoyed PJ Harvey tonight - contrary to expectations. Even the black feather head-dress wasn't too OTT.
10872,positive,My dad just told me he really wants to go see Final Destination 5 on Friday. Wow.. #wasntexpectingthat
10873,positive,@ChadLindberg dude you definitely need to get a part in True Blood. We had pole dancers again this year at the uk convention party tonight
10875,positive,good morning @nokia  you can't stop me from buying the Nokia N9 #Meego #maemo
10880,positive,@JENNIWOWW Jersey Shore begins in Spain today !! I can't wait at the night !
10881,positive,Got email saying my copy of Deus Ex is on it's way. If it arrives tomorrow I will literally stay up all night playing it. No joke.
10882,positive,RT @ThaOnlyGeo: i would kiss Beyonce's pearl before i go too bedd every night if she wass my wife...
10883,positive,Just seen that Four Lions is on C4 on Sunday night for anyone who hasn't seen it yet. So proud of my big brother; the associate producer :)
10884,positive,"""RT @barcastuff: Alexis Sanchez: \""""Of course I'd like to play already on Sunday against Real Madrid. It's true I wanted to join in the US. ..."""
10885,positive,Tomorrow is the ELVIS EXTRAVAGANZA! Tune in to 97.1FM at 11am for all the Elvis Presley you can handle.  It's gonna be rockin'.
10889,positive,Inbetweeners top ten moments tonight :D Followed by their road trip. Good night of t.v ahead!
10892,positive,Ahhhh! Loving this new IC Champion! Wish I could see it happen this Friday. ): Crossing my fingers that he has a match at Summerslam!
10894,positive,Hitting the night life with Lady Gaga #HustleHard
10898,positive,Can't wait for September 6th the new season of Sons of Anarchy starts woo hoo :-)
10900,positive,@1andOnlyWalshy 2nd goal Barcelona would be proud of. Cleverly isnt the future he's the present. Sneijder coming soon... RT please :)
10902,positive,DRY by PJ Harvey is a brilliant record. I listened to the whole thing yesterday on a break from editing. #filmmaking http://t.co/SJAAmVJ
10903,positive,@harryrippon10 yeah United were quality though you have to admit! That 2nd goal was better than Barcelona! :)
10906,positive,Was planning on going out tomorrow night until I heard rumours that @example will be on Celebrity Juice! #cantmissthat
10907,positive,@Davidheartbreak WWOOO fasho! u know i gotchu! ima c u in vegas on the 21st blud!
10915,positive,Can't wait to see my Ravens beat the Steelers tomorrow.
10916,positive,RT @DustinWStout: Today has been an AWESOME day! One of the Google engineers posted a tutorial video from our http://t.co/XAfSJqO site!  ...
10918,positive,Tomorrow is gonna be like the Super Bowl for the Ravens vs. Steelers game
10920,positive,"""I swear when @LilTunechi Carter IV to drop on the 29th.. MUSIC artists beware. \""""you are now watching a master at work\"""""""
10922,positive,@Pick_n_Mikz lmao! hope CM Punk does him. Surely will with it his last match before SummerSlam? Is it next Sunday?
10924,positive,Netflix?? RT @Pink_Dagger: I'm watching the ORIGINAL X-Men cartoons I used to watch on Saturday Mornings....#throwback #iamhappyagain
10927,positive,I think I got a date with my boo Irene tonight...ima have to change her name to Hercules she so strong...lol
10930,positive,RT @Caroljs:Yes!! opening ceremony Fri 8.30 amNZ v Tonga 9.15am OH v happy as he has Friday off  &lt;YAY. Might make ANZAC biscuits #RWC
10933,positive,It's a stretch but I'm picking Yushin Okami tomorrow. Think Anderson's athletic prime has passed and Okami's cashing in at the right time.
10934,positive,@CaramelBonitaa yeah I no but on the bright side I just got a letter from Boise State yesterday :)
10935,positive,Sons of Anarchy may be one of the greatest shows on tv right now. Thanks @JamCompadre and Netflix
10936,positive,Dindin at my fav restaurant with the boy. Now watching season 3 of Sons of Anarchy. Perfect way to end the night.
10939,positive,@iansomerhalder @paulwesley @ninadobrev you know what? Vampire Diaries starts in Germany on monday! I can't wait!
10940,positive,Great game...tremendous way to start the season. Bring it on and next Sunday Real Madrid v Barcelona.
10944,positive,RT @infinitesadd: Deus Ex exclusive hands on article going up tonight.  Fucking love you twitter followers.
10945,positive,"""All of the \""""real\"""" Democrats won their respective races & will move on 2 face the 6 recalled Republican state senators on August 9 #YesWeCan"""
10947,positive,Going to see Rise of the Planet of the Apes tonight...oh yeah.
10950,positive,Can you just skip to how to make it http://t.co/iAhDcHB Happy Friday Everyone Tha Carter IV
10952,positive,Hope Pj Harvey takes home the mercury tonight! Great record!
10953,positive,@Kareembynature LOOOL errr.. I'll have to it watch it today (was watching Celebrity Juice last night)
10955,positive,I may have to record MOTD2 tonight to watch Inbetweeners Top 10 moments with Martin. :)
10957,positive,Mimie - My colleagues are talking about Madonna ad Lady Gaga comparing which one have a really good voice. Today's topic for lunch :)
10958,positive,Hanging out with the sis tonight :) watching ridiculous amounts of Jersey shore. #best
10959,positive,I would love to watch Vampire Diaries tonight :) and some Heroes! Great combination
10960,positive,Seriously waiting for tomorrows ep of True Blood tomorrow. Shits about to get real.
10961,positive,@LeighFrancis best thing about thursday is Celebrity Juice =)
10964,positive,@TNA_GUNNER Been trying to decide on a new show to watch & always get tons of Sons of Anarchy suggestions. I may go 4 it. Have a blessed day
10970,positive,@Huda_Shami he's a very good looking guy. Is s3 on netflix? i think I'm watching it tonight
10971,positive,Watching Kevin Hart dvd. I will not be going back to sleep tonight. Im bouta be rolling.
10973,positive,Saw at last Kung Fu Panda 2 yesterday with my cousins =))
10974,positive,my mum is going to london in a couple of days. just glad she wasn't there tonight!
10976,positive,@skanyi10 @Alan_hicks Is Stadium Kanyi open tomrw for the opening ceremony and ABs Vs Tonga game? I happen to be off duty tomorrow :-)
10977,positive,@CheyTiffy morning gorgeous u were rite i thought it was b/slisten to this nicki minaj did hhave domestics http://t.co/5JxlpiC
10978,positive,Can Silicon Valley Re-Charge Solar Energy?: Silicon Valley innovators Apple and Google may be the best hope left... http://t.co/jkyct6R
10979,positive,Vampire Diaries and Jersey Shore tonight. So first we see some hotties then we fist pump with hotties.. sounds great!!! :)
10981,positive,Looking forward to Celebrity Juice tonight.
10982,positive,RT @BillyPollock: @stevetilley I'm also very stoked for Dead Island & Uncharted 3! Is the Deus Ex game 3rd person perspective?
10985,positive,Ima be up all night just to be one of the first to get the Carter IV off iTunes !
10987,positive,Wow and Pink Friday has got to number 16 in the albums chart. Well done Nicki Minaj. :D &lt;333 xxxx
10990,positive,Four Lions. Watch it on Channel 4. Tonight. At 8pm. Best film ever. I have this on my IPad. Never tired of it.  http://t.co/7I6OapX
10997,positive,I'm not going on holiday until the 25th because me and my dad wanted to watch the Inbetweeners movie when it came out LOL :') - Georgia
10998,positive,Got 2 letters today! One from Wake Forest University and the other from Boise State :)))
11003,positive,RT @Coachdivvy: I'm exited about friday! No offense but who is Tonga? NZ can't just make up names and countries. Play fair.
11004,positive,Morning all. Just woke up to Madonna on the radio with Borderline. Cool
11006,positive,Excited for the Raiders game tonight
11007,positive,After a day at the lake me and my girl are getting ready to do Vegas big tonight! #blessed #freshtodeath
11008,positive,Raw: Two champions prepare for the most important SummerSlam event in history - This Monday http://t.co/uYIeIL7
11012,positive,RT @StevenTDennis: Today *very* rare day when Democrats will get healthier on their Club for Growth scorecards than most Republicans.
11015,positive,Some good television tonight gonna get on jersey shore on the planner and 8 out of ten cats and mAybe red or black #lazynight
11016,positive,@adaminside I swear my Facebook was exploding this morning! Booms all over the fucking place! Reminded me of Four Lions. XD
11019,positive,RT @mollyjmccook: We all went to see Rise of the Planet of the Apes last night...I actually enjoyed it a lot! That ... http://tmi.me/e8lcf
11027,positive,Today *very* rare day when Democrats will get healthier on their Club for Growth scorecards than most Republicans.
11028,positive,:O INBETWEENERS MOVIE A WEEK TODAY!! Aaaahhhh! Might wear my wellies to the cinema cause I'll be 'knee deep in clunge' ;)
11029,positive,The MTA will be at Mondawmin Metro Station from 3-5pm today to celebrate The Baltimore Grand Prix. We'll have a race car for you to see!
11031,positive,@CharlieBlythe i'm going on Big Brother's Bit On The Side next Tuesday! I thought you would appreciate this haha :)
11035,positive,RT @FrontRowBrian: anderson silva is the 4th best mw in the world. sonnen  okami  lombard  silva. lol at p4p best
11038,positive,Awesome ending to Raw tonight! SummerSlam is gonna be amazing!
11043,positive,"""RT @SnickerMyDoodle: \""""I hope Notre Dame wins tonight and the Steelers win tomorrow\"""""""
11045,positive,Watching Twilight this lovely morning and wondering-  why couldn't the prods leave everyone's hair alone?? It was so much nicer!
11046,positive,Sonny bill williams named in the first xv to face Tonga on Friday. This man is one to watch my other is Isreal Dagg #rwc2011
11048,positive,Starting the 3rd season of Sons of Anarchy. I watched seasons 1 and 2 in the last couple weeks. . I'm seriously hooked
11052,positive,"""RT @Mr_StickBall Dec. 3rd \""""Its about to go down\"""" (kevin hart voice) New Orleans gone kick me the hell out &lt;===== that's my birthday"""
11055,positive,@peterfacinelli Good luck tonight @ The Teen Choice Awards :) i know Twilight is gonna take them all!! Ill b watching Xoxo
11056,positive,Hide in country clubs all U want Boehner! ReverseRobocall.com launching soon & I'm one of 1st in line! Join me. #launch http://t.co/6Qpx3X4
11059,positive,"""Going to see Rise Of The Planet Of The Apes next sunday. When @TomFelton first appears im going to shout \""""DRACO MALFOY!\"""" :D x"""
11060,positive,@NuckHeadJJ Glad Twilight night was a success. I'll make it to the next one!  Sorry to be the lame-o!
11062,positive,"""Girl singing the national anthem tonight is a Boise State student. I gave her a \""""Go Ducks\"""" before she went out. Didn't seem to faze her."""
11063,positive,@Sara__Rodrigo its almost 6pm in japan now..heheh..but good morning to you too
11069,positive,RT @BnardWilliams Good Morning World... I'm pleased to inform you that the Carter IV will not be like Watch The Throne..
11072,positive,I know one thing I can do tomorrow.. Write a blog post about my newly discovered love for Vampire Diaries!
11073,positive,i quoted nicki minaj tonight and i'm sorry and i know god will forgive me
11081,positive,@LeighFrancis: Celebrity Juice tonight 10pm itv2. Hurrraaaaah! its a Back to school special who's featuring ! The wait is too much ! Ooosh
11084,positive,can't wait to see the anderson silva fight saturday woop woop
11085,positive,The Raiders need to represent tonight!
11086,positive,The brilliant Drew Westen offers a great critique of the Obama presidency: http://t.co/DOBUyVU
11089,positive,RT @JRathboneFB: RT @PezTheDrummer: Photo: Mr. Jackson Rathbone (aka Jasper from Twilight) was looking MIGHTY fine tonight http://tumblr ...
11090,positive,Good morning! Need a Google + invite? http://t.co/XgXdIFf I have a few #plusinvites. Love to see the #gtchat folks there!
11092,positive,@Just1Jerrah vegas here i come yeah watch out las vegas the  bring back the brown sd is taking over at las vegas next week and tomorrow
11096,positive,Kim Coates was awesome on #Entourage tonight. Although it makes me really miss Sons of Anarchy. Can't wait #SAMCRO
11098,positive,OMG I can't wait to see what Beyonce is gonna do at the VMA'S Sunday August 28th! http://twitpic.com/62q0w9
11100,positive,Im getting horny Hey that reminds me is it the 19th yet? New two and a half men and/or roast of Charlie Sheen
11101,positive,LOL? Lady Gaga is attending Britney's concert tonight. She's in an arena full of Britney fans. We really did make her brave
11106,positive,you know what would be pretty funny? if NZ lost the first game against tonga tomorrow lol
11107,positive,True Blood tonight! Always the best night of the week.
11108,positive,Good Morning. Its DEFINITELY time 4 a new phone. alarm clock ringer isnt going off anymore. Tryin 2 wait on Steve Jobs before I make a move
11109,positive,Tuesday September 6th. The return of the best show EVER! Sons of Anarchy. Hell yeahhhh! #SOA
11111,positive,Fun night tonight at Vampire Diaries. Great Teen Choice Award winners!
11113,positive,Fun date night with my girl. Home early. Ice my aching body. Wish i had Netflix right about now....
11117,positive,"""I knw my ish!... \""""Kev hart voice\""""...lol! Happy sunday!RT @DiMaaHhh: Lol:-pRT @Credo_Liyo: If kevin hart make u ... http://tmi.me/e7wz4"""
11119,positive,RT @Jayy_Ballin: Tomorrow is gonna be like the Super Bowl for the Ravens vs. Steelers game
11125,positive,@jordanknight Hope u have a great show tonight. Me & the Chi/IN girls are so excited to see you in London tomorrow!
11126,positive,Inbetweeners movie coming to cinemas in Ireland on the 19th of August. I have never wanted to see a movie so bad!! #shouldbegood ;)
11129,positive,RT @JasChanel I went to see Kevin Hart and still can't wait to go see the movie on the 9th!
11130,positive,I'm so glad the Vampire Diaries won an award last night. Loves them all :)  http://t.co/wD4d3wI
11134,positive,is all about One Night by Elvis Presley
11136,positive,"""@britneyspears: \""""So amazing to have the beautiful Lady Gaga at the show in AC tonight. Love you girl.- Britney\"""""""
11137,positive,@pixiesongs @taylormomsen Hey could you two wish @i3y_xoxo a happy birthday for tomorrow? She is a huge fan from Japan of both of yours! :)
11140,positive,UFC 134 This Sunday from 11am - Anderson SILVA V Yushin OKAMI - Don't miss it. In the Sports Bar live. http://t.co/2LEHcmj
11146,positive,As good as the fights were tonight I'm glad this one is over. One day closer to seeing Anderson Silva clown a massive Asian man #spidersense
11149,positive,#jerzday tonight FIRST EPISODE OF JERSEY SHORE SEASON 4 PREMIERES TONIGHT!!!!! :')
11152,positive,Getting off the comp early tonight- going to watch my new Elvis Presley DVD that came today. :)
11155,positive,What I want to see on Sunday on True Blood - Eric Eric More Eric Naked Eric Pam Did I mention Eric? http://tumblr.com/xdl3xv2g8x
11156,positive,@TwittaBeast @immaculate_nat at da end of da night no girl that roll with me is on da MTA! They are above that as long as I can afford that!
11159,positive,Madonna's anti Hydrangea video inspired me to make this today. http://t.co/nllR601
11161,positive,This Friday we warmly embrace all things KIWI!! NZ v Tonga will be playing on the rooftop with a NZ flavoured BBQ and Steinlager a plenty
11162,positive,#NW True Blood can't wait til the new one comes on tomorrow
11164,positive,True Blood tonight #Yesssss!
11166,positive,Looking forward to the new Jersey Shore starting tonight. Has it started in Ireland yet?? What do tweeps think?? #jerseyshore
11167,positive,Caught up on True Blood!! I love it... Now time for bed! Night peeps.. be safe tonight :)!!!
11168,positive,@tpolamalu  Congrats on the new contract and good luck tomorrow in Bmore!  GO STEELERS!
11169,positive,lol i fell twice tonight im so clumsy man bahahahaaa it was sooo funny i jus keep thinkin of kevin hart
11170,positive,RT @Migz_Silva: September 19 is the roast of Charlie Sheen! I'm ready for it! Haha
11171,positive,RT @tobeymonster: Lady Gaga is attending Britney's concert tonight. She's in an arena full of Britney fans. We really did make her brave...
11174,positive,Just in case you need some inspiration today. Steve Jobs' 2005 Stanford Commencement Address: http://t.co/ibYRzfw via @AddThis
11177,positive,To anyone planning on watching the Teen Choice Awards tonight. Spoiler Alert: The winners are Justin Bieber and Twilight.
11178,positive,Excited to go see Rise of the Planet of the Apes tonight
11179,positive,"""Went to see \""""Rise of the Planet of the Apes\"""" tonight. It was pretty dope; I give it 5 Bananas."""
11187,positive,Off to learn about google analytic today.... I hope it doesn't get too technical. Looking forward to it though.
11188,positive,RT @ChristyNew RT @TeamJorchel: Retweet if you're ready for Big Brother tonight! #teamjorchel #bb13 #cbsbigbrother can't wait. :) go jochel
11189,positive,Is about to go see The Help!!  Can't wait for Final Destination 5 on Friday!!
11191,positive,Good Morning America of Nicki Minaj was great when she perform Moment 4 Life @NICKIMINAJ #NickiMinaj
11193,positive,i learn how to rap like nicki minaj tonight so that i can irritate my bf tmr after buka.
11196,positive,child like excitement building ahead of the #RWC think my 2nd team is going to be Tonga #loveabitofbiff
11197,positive,Madonna wears the Director's Hat!! Grab the 1st look of the movie as she unveils it at the Venice flim festival.... http://t.co/mY4SsV7
11198,positive,Must get all my work done and ahead with cleaning my house before 10pm so I can have a night in with the Sons of Anarchy
11200,positive,RT @marcohanna: @afairclub sold out tonight!! Charlie Sheen's Cake Party!! Marco Hanna Live with Dudu Sax !!!
11206,positive,Devo Brown: Thanks for another great night everyone!! Don't forget tomorrow Roz and Mocha speak with Lloyd Robertson & Jason Priestley!
11207,positive,I'm so pumped for Jersey Shore 4 tonight! I want @Sn00ki and Vinny to hook up XD
11214,positive,Can't wait for tomorrow night! And no not bc of jersey shore but bc it's the first official game of the NFL season!
11217,positive,Off to see the Nokia N9 tomorrow. It'll be like being a real consumer tech dude again. Also off to an event at the new Winnings store.
11219,positive,"""TGI Friday's was good! Going to the moves to see \""""Rise of the Planet of the Apes\""""."""
11220,positive,Celebrity Juice tonight 10pm itv2. Hurrraaaaah! its a Back to school special
11221,positive,Just found out that the new season for Vampire Diaries comes out Sept 15th :-)
11223,positive,Nokia N9 in nine seconds: By Ian posted on the 13th of July 2011 at 8:35AM GLOBAL - The Nokia N9 is fast. So fast that a regular 30-s...
11226,positive,I guess I'm going to watch Anderson Silva whop a nigga ass while drinking Grey Goose tonight
11227,positive,"""I'm really dying to hear that track with Beyonce and the full version of \""""That's My Bitch\"""" off Watch the Throne. Monday must come sooner"""
11228,positive,Charlie Sheen seems pretty confident/badass for his upcoming roast. He actually seems like he has it together. I may watch.
11233,positive,#Iwishtheywouldbringback the red trains for tha MTA just pimp them shit out to make em look like today's trains
11237,positive,Anyone else already getting goosebumps about how loud goodnight Irene will be at 2:55 tomorrow afternoon #blackthornendmyrealhome
11238,positive,RT @sfleming23: Looking forward to Celebrity Juice tonight!
11239,positive,Aug 27th: UFC Rio..Anderson Silva vs Yushin Okami(last man to beat him)..Expect to see the best fighter on the planet put on a fucking show!
11240,positive,RT @ZaidJilani: The brilliant Drew Westen offers a great critique of the Obama presidency: http://t.co/DOBUyVU
11243,positive,Well since it's been the 7th here n Japan 4 over 12 hrs I'd like 2 wish my BFF @MiaMcK a grand 26th. Sad I can't b there w/you.
11247,positive,Walking through Chelsea at this time of day is rather lovely. Love London at night :D
11253,positive,We all went to see Rise of the Planet of the Apes last night...I actually enjoyed it a lot! That chimp Caesar was a great actor. Seriously.
11254,positive,Britney: Lady Gaga's here tonight. Me: WHAT? *Watches Gaga the rest of the night *  Me: Who's concert was that ? I forgot. ;D
11257,positive,I'm worried I may sing out loud on the train!! Beyonce's album just gets me in the singing mood everytime!
11259,positive,RT @Jessica1294: @supermac18: Omfg Britney is like here in MA... AHHHH!!! along with Nicki Minaj. Omggg the concert is tomorrow :DDD thi ...
11261,positive,@tamartorello Oh my gosh that's hilarious - love it! Did you read the one on Steve Jobs? http://onforb.es/nibJjg Love the Tuesday reading :)
11262,positive,Prayin for the families that lost someone today in the plane crash. Pavol Demitra one of my favorite players rest in peace. :'(
11263,positive,Watching the best moments of Inbetweeners last night highlighted the fact that (towie) is full of helmets. Surely im not the only one?
11264,positive,Shooting Tvshow Sons of Anarchy at my studio today. They closed off all the streets for a giant gun battle! Fun.  http://t.co/4lE2dIh
11266,positive,@IreneNell Good morning Irene :) I love the tiger photies so much! Do you own them?
11267,positive,Ok i need something to try cheer me up after the the loss last night!Tickets for the Brittany and Nicki Minaj 2mo night - i need2Get looking
11268,positive,Yay inbetweeners is in the cinemas august 17th    Should be well funny
11271,positive,@cf125 @followimran Four Lions is on Sunday night @ 9pm on @C4Insider Make sure you watch it boys. (Eid Mubarck Imran) #veryfunnyfilm
11272,positive,Kicking off in London tonight? Wait til you see the West Ham fans tomorrow after we've beaten them 3-0 ;)
11273,positive,RT @GimmieDatBoom: Steelers gonna beat the Ravens tomorrow lol
11274,positive,Listening to that Elvis Presley... He may be on to something with his rock and roll!
11278,positive,"""Sons of Anarchy is arguable the most under appreciated show. You may think you're not into \""""motorcycle gangs~\"""" but this show is perfect."""
11279,positive,@Irenie_M Irene Thank you very much for your lovely MTs today much appreciated! Hope you have a great weekend!
11280,positive,RT @LeighFrancis: Celebrity Juice tonight 10pm itv2. Hurrraaaaah! its a Back to school special&lt;~ yayyyy
11281,positive,Off to see Toby Keith at the Red Rock Casino amphitheater tonight in Vegas. OH YEAH :-)
11284,positive,RT @jcpatrick101: So.... this evening I held @AdamF81's Nokia N9 in my human hand. And now I fucking want one. #N9 #YesReally
11286,positive,"""RT @Ro_OneTwo: I will be at the movies Friday night to see \""""Final Destination 5\"""". I'm in love with scary movies :)"""
11289,positive,@Nicegirll1124 Good! Well Summerslam is on early monday morning Live here at 1am so il be up watchin it for The Great One.. #TeamBringIt
11290,positive,Going to see Rise of the Planet of the Apes tonight:) Perfection #check
11291,positive,Weezy's Carter IV out on the 29th ! lets fuckin go
11294,positive,In an ideal world Oregon and Boise State will win Sept 3rd and give power to the PAC NW! #GoDucks
11295,positive,http://t.co/5Wbymtv - How true. Think it's time for another Deus Ex playthrough before DX3 is released Friday week.
11301,positive,RT @askjillian: Thanks Rachel for the love on Big Brother last night! Glad to entertain you on @gdla
11305,positive,PJ Harvey or King Creosote would be deserving winners of the #Mercury2011 prize tonight but think Tinie Tempah will nick it
11307,positive,okay this Wookie boy too childish he say I gotta hear my favorite song 1st and this niggah play 1+1 by Beyonce :) I love that song man;
11311,positive,Tweet di Brintey So amazing to have the beautiful Lady Gaga at the show in AC tonight. Love you girl.- Britney http://fb.me/13C1kUZaw
11312,positive,So u tx me and ask if I can spend the night.Haha I DON'T EVEN KNOW U (Kevin hart voice) haha
11315,positive,Great night with @TomFeltonsMrs! Now watching Vampire Diaries again &lt;3
11317,positive,RT @CoryWho: Alright everyone lets do this. 2 winners tonight at 9pmEST. Girl and boy winners. 1600 Microsoft Points. @ me and follow fo ...
11321,positive,Mail on Sunday: Cesc Fabregas is so desperate to leave Arsenal for Barcelona that he has offered to give up more ... http://tmi.me/e71Co
11324,positive,One Night like In Vegas I make dat Nigga Famous
11325,positive,anderson silva is fighting saturday in the ufc.  you know he can't lose.
11326,positive,Jersey shore season four tonight :) x
11331,positive,"""Went to see \""""Rise of the Planet of the Apes\"""" tonight Great movie B+ for sure.  !!lChris-Rockz!!!"""
11333,positive,RT @Fearnecotton: Also back to school special Celebrity Juice on itv2 tonight! Oushhhhh
11339,positive,I could have had the BEST DAY EVER!..if I had went to tha Nicki Minaj concert in AC tonight...
11341,positive,RT @spaikin: want to wish legendary broadcaster lloyd robertson a great final newscast tonight.  the man is a total class act.  #ctv  #l ...
11348,positive,watching Kung Fu Panda 2 with the tribe & the nieces...a mellow evening
11350,positive,*Turns off phone and locks door.* I just got season 1 of Vampire Diaries from mom. I'm gonna watch it all with Anna today.
11353,positive,Summerslam may be interesting after all! @cmpunk saves the day again. #Raw
11355,positive,Can't wait until Anderson silva taps out tonight @cwood2day @J_Cross10
11360,positive,Can't wait to see @example on Celebrity Juice tonight!
11364,positive,Nothing like a steak dinner then True Blood on demand with my favorite person on earth! Perfect saturday night :)
11365,positive,We salute you Lloyd Robertson. Good evening. #LtotheLtotheOYD #fb
11367,positive,@laurenbuckenham guess what im working in the day on 17th meaning you can come over so we can be excited aaaaand we can go see inbetweeners!
11368,positive,Up to the 4th episode of True Blood 2nd season.  It gets better & better.
11375,positive,Hehehehe can't wait for the 3rd season of Vampire Diaries (:
11388,positive,SHATING   RT @LeighFrancis Celebrity Juice tonight 10pm itv2. Hurrraaaaah! its a Back to school special
11390,positive,RT @DPBNE: How brilliant.If Adam Scott finishes tied 2nd or better then his caddie Steve Williams will make more than Tiger Woods for th ...
11394,positive,@sgtSlap_aHoe Pretty good.. HBU? Ready to watch the Raiders tonight??
11395,positive,hmmm..thinking that now is a good time to win the lottery. #311Day2012 in Vegas AND #311Cruise in May...decisions to be made!
11396,positive,@rinecho9239 good morning Irene ^_^ have a nice day!
11397,positive,Can't wait to go to the movies on Saturday to see Final Destination 5 (:
11402,positive,"""In the car with the parents on the way back home home. Heading to ATL to say good-bye to \""""Sweet Irene\""""tomorrow."""
11408,positive,"""@xxFranchizexx LMFAO! You know why they call Japan the \""""Land of the Rising Sun\"""" right?...Cause everyone there is squinting all day long."""
11410,positive,"""I Might Treat My Mommy' to the Movies Saturday to  See \""""Final Destination 5\"""" !"""
11411,positive,Anderson Silva better fuck up Yushin Okami tonight.
11413,positive,Please believe on Sept 9th I will be in the theater watching Kevin Hart's new movie...
11416,positive,It still hasn't hit me yet that tomorrow is Steelers & Ravens day.
11417,positive,Sometimes you just got to put the Michael Jackson song from Free Willy on repeat all morning.
11418,positive,Our new dance instructor for #ClubFitness has toured w/ Beyonce!!! You know our Beyonce themed night is going to be CRAZY!!!
11420,positive,Haha ayee ! Im goin wit you cosn RT @RichSwaggaMOSS: Goin to The Raiders Game today. In my Niner Hoodie and Niner Beanie. Wit my Bourdeuxs.
11421,positive,Def goin to see that Kevin Hart in the movies sept 9.
11423,positive,I may love asians from Japan! But I have a girl that I'm gonna marry. Believe it! She's a ghetto ass short girl that's clumsy as fuck lol.
11424,positive,"""saw \""""Rise of the Planet of the Apes\"""" with the gf last night...it was a pretty damn good movie...y'all should go check it out"""
11425,positive,Today's #FF number 1 goes to @kev_d because he's SOO GOOD at computers that Steve Jobs is worried about job security.
11426,positive,RT @brontorawks: If the votes are for the best album then PJ Harvey will win tonight
11427,positive,next monday = Vampire Diaries are back! watch it :) very happy now :)
11428,positive,@colinmochrie Congrats to Lloyd Robertson on the Gordon Sinclair Award tonight at the Geminis. Last broadcast on CTV Nat'l News is Thursday.
11429,positive,Boise State's jerseys for the game Saturday are sick.  You won't be dissapointed.
11432,positive,K Im done lookin at Nicki Minaj's titties for 2nite..Found someone to skype with! Smiles for those late night Skype sessions.GOD BLESS WOMEN
11438,positive,SaadRA: The Droid Bionic may be the most hyped phone in the history of gadgetdom. The latest round of spyshots c... http://t.co/Ohmx186
11445,positive,In Barcelona tomorrow... Time to bring out the tees and shorts :))
11447,positive,Mbaaah!shut up & sleep or sit down!((((BOOM))))*i love Nohle* RT @tebeza: Wish i could fly to Irene just 2 get my Good Night kiss!! #sigh
